iter	Passed	Remaining
857	6005	993
858	6013	987
859	6023	980
860	6030	973
861	6037	966
862	6043	959
863	6050	952
864	6056	945
865	6061	937
866	6069	931
867	6075	923
868	6082	916
869	6089	909
870	6097	903
871	6104	896
872	6113	889
873	6120	882
874	6125	875
875	6132	868
876	6138	860
877	6144	853
878	6150	846
879	6156	839
880	6162	832
881	6168	825
882	6174	818
883	6183	811
884	6192	804
885	6202	798
886	6210	791
887	6216	784
888	6221	776
889	6229	769
890	6235	762
891	6242	755
892	6248	748
893	6253	741
894	6260	734
895	6266	727
896	6273	720
897	6282	713
898	6291	706
899	6299	699
900	6307	693
901	6314	686
902	6319	678
903	6327	671
904	6332	664
905	6338	657
906	6345	650
907	6350	643
908	6357	636
909	6365	629
910	6373	622
911	6380	615
912	6387	608
913	6395	601
914	6401	594
915	6408	587
916	6415	580
917	6422	573
918	6428	566
919	6434	559
920	6441	552
921	6447	545
922	6455	538
923	6462	531
924	6471	524
925	6478	517
926	6484	510
927	6492	503
928	6498	496
929	6504	489
930	6510	482
931	6516	475
932	6522	468
933	6528	461
934	6535	454
935	6543	447
936	6551	440
937	6560	433
938	6569	426
939	6576	419
940	6583	412
941	6590	405
942	6595	398
943	6602	391
944	6607	384
945	6613	377
946	6620	370
947	6627	363
948	6634	356
949	6641	349
950	6647	342
951	6655	335
952	6661	328
953	6667	321
954	6673	314
955	6678	307
956	6685	300
957	6691	293
958	6697	286
959	6704	279
960	6711	272
961	6719	265
962	6726	258
963	6734	251
964	6741	244
965	6748	237
966	6754	230
967	6759	223
968	6767	216
969	6772	209
970	6778	202
971	6784	195
972	6791	188
973	6799	181
974	6807	174
975	6816	167
976	6825	160
977	6834	153
978	6840	146
979	6846	139
980	6852	132
981	6858	125
982	6866	118
983	6871	111
984	6878	104
985	6884	97
986	6891	90
987	6900	83
988	6908	76
989	6917	69
990	6924	62
991	6932	55
992	6939	48
993	6946	41
994	6952	34
995	6959	27
996	6965	20
997	6971	13
998	6978	6
999	6985	0
